Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Has_Website,Has_Phone,Micro-Zone
"Bytco College, Nashik Road",nail salon,Sunrise wellness spa,070302 03099,,4.8,533.0,False,True,Bytco College
"Bytco Point, Nashik Road",cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,487.0,False,True,Bytco Point
"Bytco Point, Nashik Road",specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,475.0,False,True,Bytco Point
"Bytco Point, Nashik Road",unisex salon,Sam Unisex Salon | Nashik,086689 93861,,4.8,356.0,False,True,Bytco Point
"Bytco College, Nashik Road",specialty coffee shop,TRC The Reality Cafe,077374 51555,,4.7,292.0,False,True,Bytco College
"Bytco Point, Nashik Road",unisex salon,M K FAMILY SALON (iT's YoUr TiMe To ShiNe) NASHIK HAIR STYLIST,079728 53676,,4.8,270.0,False,True,Bytco Point
"Bytco Point, Nashik Road",lounge,"Professional Massage & Spa , for Ladies & Gents, Backpain ,Neck & Muscle pain, Muscle Stiffness",095116 19622,,5.0,268.0,False,True,Bytco Point
"Bytco Point, Nashik Road",unisex salon,Elegance Salon,081041 00135,,4.8,261.0,False,True,Bytco Point
"Bytco College, Nashik Road",crossfit,ICON FITNESS HUB UNISEX GYM,087884 91628,,4.9,258.0,False,True,Bytco College
"Bytco College, Nashik Road",aesthetic clinic,Dr Rathod's Ortho Clinic In Nashik,072761 16146,,4.9,249.0,False,True,Bytco College
"Bytco Point, Nashik Road",nail salon,Honey Beauty Studio & Academy,077568 05341,,4.9,241.0,False,True,Bytco Point
"Muktidham, Nashik Road",aesthetic clinic,Assured Care Plus Hospital,0253 246 8786,,4.8,237.0,False,True,Muktidham
"Bytco Point, Nashik Road",pilates studio,Fit N Fine Gym,0253 406 4254,,4.7,232.0,False,True,Bytco Point
"Muktidham, Nashik Road",specialty coffee shop,KARMVEER CAFE (Amruttulya ),098237 39334,,4.8,221.0,False,True,Muktidham
"Bytco Point, Nashik Road",specialty coffee shop,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,,4.8,213.0,False,True,Bytco Point
"Bytco Point, Nashik Road",unisex salon,AKSHAAY - Unisex Salon & Academy,093719 99355,,4.8,211.0,False,True,Bytco Point
